product_id,product_type,timestamp,actual_price,promotional_price,max_discount,min_price,competitor1,competitor2,competitor3,competitor4,competitor5,max_predicted_price_range,min_predicted_price_range,base_predicted_price
product28,smartphones,1717405806.7953286,662.23,581.25,68.37,593.86,606.15,597.86,597.93,622.74,593.86,647.97,580.01,583.03
product29,smartphones,1717387624.075156,1073.1,919.97,138.49,934.61,987.41,1041.32,1009.64,934.61,1021.17,970.92,714.29,938.85
product30,beverages,1717322799.2075431,2.19,1.95,0.31,1.88,1.88,2.12,2.13,2.06,2.02,3.12,1.91,1.94
product31,smartphones,1717254008.008148,854.81,748.34,104.88,749.93,853.81,757.8,749.93,817.08,848.82,766.79,699.29,740.75
product32,headphones,1717206881.746824,170.19,149.78,15.38,154.81,167.32,154.81,161.065,161.065,161.065,264.08,147.05,149.54
product33,smartphones,1717139746.779506,823.91,752.15,93.34,730.57,749.97,730.57,769.6,751.03,746.47,752.14,594.93,732.16
product34,beverages,1717117569.3606825,2.23,1.92,0.29,1.94,2.15,2.13,2.06,1.96,1.94,3.35,1.91,1.93
product35,headphones,1717076655.0446086,325.91,279.5,45.91,280.0,287.47,280.0,312.1,304.17,291.08,284.08,278.43,281.6
product36,electronics,1716991466.1353383,1442.15,1316.15,207.91,1234.24,1426.28,1423.33,1373.27,1326.27,1234.24,1377.64,1177.07,1332.2
product37,smartphones,1716909872.1251495,1117.68,952.54,145.4,972.28,1101.22,972.28,1041.21,1058.0,1024.22,972.97,945.64,963.8
product38,smartphones,1716829808.167282,894.55,779.01,98.25,796.3,796.3,866.73,831.515,831.515,831.515,800.69,699.29,783.45
product39,electronics,1716803474.9024732,1873.22,1622.29,206.07,1667.15,1847.34,1797.29,1667.15,1677.66,1764.29,1790.67,1646.1,1676.97
product40,beverages,1716789023.199016,3.23,2.76,0.48,2.75,2.85,2.82,3.15,2.96,2.75,114.05,1.71,3.52
product41,beverages,1716760408.2725005,1.69,1.45,0.2,1.49,1.56,1.53,1.49,1.56,1.57,4.52,1.45,1.51
product42,headphones,1716705387.390345,274.65,237.34,39.44,235.21,261.03,265.04,248.93,259.49,235.21,267.18,230.64,239.63
product43,electronics,1716663278.1597862,1270.45,1087.09,178.7,1091.75,1257.26,1126.53,1107.32,1091.75,1178.75,1163.2,1056.67,1105.94
product44,electronics,1716628861.3625517,1071.9,934.68,134.94,936.96,1059.88,957.48,936.96,1017.12,1051.84,970.26,714.29,937.75
product45,beverages,1716611514.683423,1.89,1.62,0.19,1.7,1.7,1.79,1.745,1.745,1.745,5.99,1.61,1.66
product46,electronics,1716597324.0334904,1821.48,1579.28,247.72,1573.76,1616.3,1670.32,1778.52,1592.82,1573.76,1584.5,1519.55,1558.88
product47,headphones,1716561903.4455855,355.91,313.68,52.81,303.1,343.39,341.88,303.1,303.16,334.94,320.7,310.6,311.91
product48,smartphones,1716542916.6998675,1124.93,971.83,150.33,974.6,1002.92,974.6,1021.15,1059.26,1000.14,989.12,904.95,981.49
product49,headphones,1716499530.8861086,315.99,308.93,25.41,290.58,290.58,298.39,294.485,294.485,294.485,307.3,271.95,291.53
product50,electronics,1716452458.020239,1233.95,1061.32,156.61,1077.34,1205.03,1107.22,1132.1,1123.29,1077.34,1107.17,1009.28,1070.14
product51,headphones,1716382070.544568,216.29,186.64,32.25,184.04,194.02,191.03,184.04,190.1,191.39,264.08,181.12,186.64
product52,smartphones,1716367804.1733346,791.74,708.75,115.45,676.29,739.93,780.02,676.29,750.81,741.34,745.68,594.93,709.96
product53,headphones,1716358037.2412884,325.09,280.27,48.51,276.58,315.63,276.58,285.07,296.13,321.99,281.76,280.26,282.4
product54,electronics,1716285269.6458638,1941.5,1709.62,241.84,1699.66,1783.73,1840.38,1699.66,1732.08,1708.57,1737.09,1626.99,1688.98
product55,smartphones,1716216535.3523452,837.36,735.68,101.12,736.24,814.22,754.42,800.67,759.48,736.24,752.67,699.29,740.43
product56,beverages,1716169632.9218624,1.23,1.05,0.12,1.11,1.22,1.11,1.14,1.23,1.14,2.39,0.87,1.03
product57,headphones,1716106592.701413,160.72,140.0,20.63,140.09,140.09,146.05,149.58,147.39,160.34,264.08,140.67,139.66
product58,headphones,1716087254.9859364,103.9,88.68,13.36,90.54,93.72,92.75,92.22,94.13,90.54,264.08,88.68,88.65
product59,electronics,1716055904.0671268,1466.17,1262.18,110.21,1355.96,1361.73,1355.96,1420.51,1405.69,1441.04,1421.99,1121.28,1299.87
product60,electronics,1716004399.864324,1539.59,1339.54,131.81,1407.78,1498.14,1407.78,1452.96,1452.96,1452.96,1432.7,1245.24,1348.4
product61,beverages,1715967452.6177182,2.07,1.78,0.25,1.82,1.91,1.87,2.06,1.97,1.82,8.39,1.73,1.78
product62,electronics,1715915464.0359716,1961.59,1740.91,192.6,1768.99,1837.69,1768.99,1803.3400000000001,1803.3400000000001,1803.3400000000001,1762.35,1673.47,1717.85
product63,electronics,1715866747.9872265,638.84,543.33,95.38,543.46,563.99,630.31,543.46,619.26,559.0,554.78,543.58,550.69
product64,beverages,1715814791.5692112,2.22,1.91,0.3,1.92,2.08,1.94,1.92,2.18,2.05,3.06,1.87,1.98
product65,beverages,1715732173.3521109,1.99,1.72,0.2,1.79,1.79,1.92,1.79,1.79,1.89,1.69,1.66,1.74
product66,smartphones,1715710533.584335,936.87,800.93,129.94,806.93,806.93,856.23,828.51,853.79,841.15,859.96,699.29,818.53
product67,headphones,1715641098.14213,244.67,208.82,30.53,214.14,214.14,230.06,222.1,222.1,222.1,264.08,207.27,213.27
product68,headphones,1715597149.048337,175.25,156.99,24.99,150.26,152.06,167.12,150.26,161.23,173.63,264.08,147.2,151.21
product69,beverages,1715579782.6156273,1.33,1.14,0.15,1.18,1.22,1.18,1.22,1.31,1.2,2.25,1.13,1.16
product70,electronics,1715503168.6555383,566.63,484.96,74.08,492.55,505.66,526.31,540.18,548.23,492.55,527.74,483.69,488.95
product71,beverages,1715465297.5185268,1.21,1.03,0.12,1.09,1.09,1.12,1.1,1.16,1.09,2.39,0.87,0.97
product72,electronics,1715437146.9848473,1399.66,1230.84,128.35,1271.31,1386.37,1271.33,1271.31,1360.89,1348.78,1345.36,1107.72,1242.21
product73,smartphones,1715414480.0270047,1117.34,1030.71,112.13,1005.21,1005.21,1040.71,1054.99,1038.44,1110.18,992.12,836.94,998.92
product74,electronics,1715373761.2854233,1412.75,1330.82,170.64,1242.11,1242.11,1271.25,1256.6799999999998,1256.6799999999998,1256.6799999999998,1331.12,1192.04,1296.17
product75,smartphones,1715291021.391698,962.04,818.14,142.83,819.21,939.97,847.53,928.25,830.32,819.21,892.32,699.29,824.01
product76,electronics,1715284036.2046945,1925.55,1681.06,134.07,1791.48,1791.48,1798.15,1794.815,1794.815,1794.815,1750.75,1585.46,1701.56
product77,beverages,1715237542.7706747,2.14,1.86,0.29,1.85,1.85,2.09,2.05,2.13,2.04,2.28,1.91,1.9
product78,headphones,1715190615.1227624,171.0,145.37,25.35,145.65,166.49,157.84,155.81,152.85,145.65,264.08,145.37,148.7
product79,headphones,1715152046.2608764,282.75,261.11,32.94,249.81,254.83,278.25,250.57,273.05,249.81,264.08,230.52,253.18
product80,beverages,1715111911.004747,2.18,2.03,0.24,1.94,2.04,2.01,1.94,1.99,2.1,2.25,1.96,1.99
product81,electronics,1715088620.9902945,1612.55,1420.79,216.65,1395.9,1590.24,1395.9,1563.48,1601.6,1436.03,1525.94,1367.83,1443.85
product82,beverages,1715084273.165491,3.15,2.68,0.44,2.71,2.71,2.84,2.775,2.775,2.775,53.48,2.34,3.27
product83,electronics,1715047708.4795432,479.51,415.16,50.52,428.99,451.31,434.1,469.0,428.99,455.66,415.07,414.76,414.39
product84,electronics,1714992765.8582592,209.48,179.4,15.51,193.97,203.41,202.8,203.74,196.82,193.97,264.08,177.66,181.75
product85,beverages,1714941664.6904054,1.93,1.69,0.28,1.65,1.82,1.66,1.65,1.8,1.9,6.47,1.62,1.71
product86,beverages,1714917039.0187488,2.04,1.74,0.3,1.74,1.82,1.74,1.85,1.94,1.74,5.45,1.71,1.76
product87,electronics,1714905124.9491937,1882.88,1657.62,240.67,1642.21,1642.21,1722.56,1832.74,1731.93,1829.99,1729.79,1626.99,1661.17
product88,beverages,1714859964.1904333,3.04,2.65,0.36,2.68,2.68,2.69,2.77,2.99,2.71,2.4,2.6,2.42
product89,beverages,1714806490.5498383,3.48,3.13,0.42,3.06,3.06,3.24,3.1500000000000004,3.1500000000000004,3.1500000000000004,264.08,2.53,3.95
product90,smartphones,1714739781.9287877,521.84,472.6,38.04,483.8,505.48,483.8,507.97,491.35,517.56,471.71,460.09,467.83
product91,electronics,1714684415.402794,717.26,610.1,99.52,617.74,617.74,678.28,660.31,629.76,709.43,656.87,589.54,631.36
product92,electronics,1714646432.7425838,1336.59,1233.78,112.09,1224.5,1296.71,1224.5,1260.605,1260.605,1260.605,1233.61,1080.0,1204.16
product93,smartphones,1714612563.0754056,711.22,617.28,46.07,665.15,687.83,665.15,676.49,676.49,676.49,624.79,584.12,629.09
product94,smartphones,1714583528.5020456,892.01,797.47,107.53,784.48,784.48,886.56,835.52,835.52,835.52,798.09,699.29,786.92
product95,electronics,1714507016.0035362,953.0,839.48,135.14,817.86,916.24,817.86,866.86,898.45,820.06,895.62,699.29,830.05
product96,headphones,1714491942.1722271,185.59,158.21,24.87,160.72,172.52,185.13,160.72,163.83,176.92,264.08,158.11,160.64
product97,electronics,1714485016.5989752,225.54,192.52,31.78,193.76,206.05,193.76,204.02,206.35,194.06,264.08,192.31,199.56
product98,headphones,1714456030.8141434,341.69,290.91,49.79,291.9,336.56,298.05,305.53,308.48,291.9,310.35,290.85,291.73
product99,electronics,1714386072.898488,293.66,252.23,35.59,258.07,292.2,287.61,258.07,277.71,262.9,264.08,252.14,253.91
product100,smartphones,1714371604.3116117,1043.77,892.21,152.54,891.23,1008.85,925.07,941.01,947.08,891.23,995.26,782.3,916.14
product101,beverages,1714300886.5969486,2.57,2.45,0.33,2.24,2.36,2.24,2.3,2.3,2.3,3.2,2.07,2.34
product102,electronics,1714256208.168447,1656.91,1441.54,196.69,1460.22,1524.86,1460.22,1492.54,1492.54,1492.54,1560.15,1405.62,1496.22
product103,headphones,1714183711.6751225,320.87,285.96,36.23,284.64,284.64,292.86,288.75,288.75,288.75,285.07,274.25,285.49
product104,beverages,1714102210.8213024,2.34,1.99,0.34,2.0,2.19,2.14,2.06,2.0,2.3,5.87,1.99,2.04
product105,beverages,1714037133.6435966,2.68,2.28,0.37,2.31,2.31,2.51,2.5,2.53,2.52,2.37,2.19,2.31
product106,headphones,1713986491.7849984,117.14,102.35,17.15,99.99,101.29,108.66,114.66,112.62,99.99,264.08,100.88,103.8
product107,beverages,1713931624.583433,3.01,2.6,0.38,2.63,2.65,2.67,2.63,2.65,2.64,53.48,2.57,2.66
product108,electronics,1713855613.2985623,380.38,323.8,46.55,333.83,367.06,354.54,378.36,333.83,363.49,356.33,326.26,329.76
product109,headphones,1713775257.1444206,390.73,347.06,50.46,340.27,389.49,340.27,372.34,359.58,379.63,355.84,336.0,342.85
product110,smartphones,1713749470.8105748,1264.01,1156.25,155.58,1108.43,1228.51,1234.1,1108.43,1179.14,1224.86,1156.21,1032.51,1132.42
product111,beverages,1713743072.897524,1.53,1.35,0.22,1.31,1.44,1.48,1.45,1.47,1.31,43.62,1.29,1.36
product112,headphones,1713706403.4772017,287.93,265.57,40.1,247.83,274.36,282.24,247.83,267.21,272.21,267.18,234.87,261.22
product113,beverages,1713702279.8491807,3.16,2.69,0.39,2.77,2.77,3.04,2.94,2.86,2.89,53.48,2.69,2.84
product114,smartphones,1713667523.1338382,668.6,579.01,96.66,571.94,604.54,571.94,586.01,652.89,625.78,580.56,579.56,572.55
product115,headphones,1713639533.9384954,288.61,247.37,41.99,246.62,285.98,254.3,281.58,258.16,246.62,270.2,234.54,249.53
product116,beverages,1713617341.3544438,1.73,1.68,0.26,1.47,1.47,1.63,1.5499999999999998,1.5499999999999998,1.5499999999999998,5.49,1.52,1.59
product117,beverages,1713550410.7551682,1.23,1.06,0.18,1.05,1.12,1.05,1.11,1.2,1.2,2.39,1.05,1.07
product118,smartphones,1713479317.3165336,1207.46,1110.48,80.85,1126.61,1158.58,1126.61,1142.5949999999998,1142.5949999999998,1142.5949999999998,1120.72,917.45,1109.66
product119,beverages,1713455470.8613057,3.18,2.71,0.39,2.79,2.9,3.02,2.88,2.87,2.79,53.48,2.71,2.75
product120,headphones,1713409933.934741,316.81,270.26,47.39,269.42,281.98,269.42,304.79,309.25,269.48,274.56,268.16,270.18
product121,smartphones,1713401268.0382578,1244.15,1076.56,157.96,1086.19,1221.96,1139.91,1109.93,1106.16,1086.19,1132.74,992.31,1101.3
product122,headphones,1713393754.4444733,351.54,302.89,18.76,332.78,332.78,351.46,342.12,342.12,342.12,341.15,302.89,306.12
product123,smartphones,1713389788.7601278,1254.36,1181.08,116.11,1138.25,1212.48,1246.63,1138.25,1211.7,1240.48,1181.06,907.55,1155.46
product124,electronics,1713359224.4351804,814.03,697.52,93.5,720.53,763.39,769.7,730.6,720.53,747.2,731.14,594.93,707.21
product125,beverages,1713344268.7090385,2.32,2.08,0.35,1.97,2.05,1.97,2.11,1.98,2.28,-0.1,2.01,2.06
product126,beverages,1713313119.587533,1.92,1.7,0.28,1.64,1.64,1.7,1.67,1.67,1.67,6.47,1.62,1.67
product127,beverages,1713287963.7500231,1.2,1.04,0.14,1.06,1.12,1.09,1.06,1.12,1.07,2.39,0.87,0.97
product128,electronics,1713227167.318128,943.99,863.71,108.59,835.4,835.4,852.97,844.185,844.185,844.185,863.79,699.29,837.02
product129,smartphones,1713216510.1462593,758.46,741.29,110.37,648.09,648.09,750.06,699.075,699.075,699.075,736.18,589.54,699.3
product130,headphones,1713146093.6756184,129.71,116.93,18.43,111.28,113.78,112.43,111.28,123.13,112.38,264.08,113.1,112.67
product131,beverages,1713064826.6227474,2.49,2.26,0.33,2.16,2.16,2.32,2.24,2.24,2.24,2.58,2.06,2.24
product132,beverages,1713041050.279192,2.1,2.02,0.31,1.79,1.88,1.79,1.835,1.835,1.835,1.86,1.9,1.94
product133,beverages,1713007129.393675,1.2,1.06,0.1,1.1,1.1,1.2,1.13,1.11,1.16,2.39,1.02,1.02
product134,beverages,1713001051.6215944,2.63,2.28,0.37,2.26,2.61,2.26,2.57,2.53,2.31,2.59,2.17,2.3
product135,beverages,1712934459.666863,2.67,2.28,0.34,2.33,2.34,2.62,2.52,2.33,2.41,2.8,2.28,2.29
product136,smartphones,1712852455.5970392,1269.68,1140.35,152.26,1117.42,1257.07,1241.92,1117.42,1248.75,1244.38,1168.17,1021.32,1141.68
product137,headphones,1712814140.2939975,308.81,269.62,30.17,278.64,284.59,278.64,281.615,281.615,281.615,281.2,268.18,274.71
product138,headphones,1712740440.9179668,249.8,213.43,28.89,220.91,225.51,229.64,220.91,234.61,240.39,264.08,219.16,220.7
product139,headphones,1712670885.992826,185.36,158.07,26.93,158.43,172.91,158.43,166.65,181.56,178.55,264.08,150.47,159.23
product140,headphones,1712632356.1284175,315.01,295.31,44.85,270.16,273.51,270.16,271.83500000000004,271.83500000000004,271.83500000000004,274.83,264.41,271.88
product141,smartphones,1712621853.2097316,697.83,602.98,81.31,616.52,629.38,616.52,642.26,667.36,696.29,642.17,589.54,610.57
product142,electronics,1712551272.0892358,1436.34,1246.54,124.7,1311.64,1354.81,1311.64,1351.32,1411.99,1426.97,1358.21,1111.51,1273.3
product143,beverages,1712528122.1488938,2.21,2.02,0.22,1.99,2.05,1.99,2.02,2.02,2.02,7.14,1.94,1.98
product144,headphones,1712502172.546348,203.84,173.37,27.43,176.41,192.71,178.62,197.19,176.41,193.15,264.08,172.33,176.21
product145,headphones,1712496244.650524,328.05,284.73,37.83,290.22,290.22,306.81,290.8,305.9,292.53,307.62,278.21,285.94
product146,smartphones,1712436009.3353126,1006.24,866.77,142.2,864.04,864.04,976.55,915.04,864.06,980.08,917.43,699.29,861.3
product147,beverages,1712356866.2195704,3.13,2.67,0.44,2.69,2.86,3.09,2.69,3.09,3.13,53.48,2.39,3.21
product148,smartphones,1712351855.3192716,644.01,549.4,91.76,552.25,588.05,552.25,583.69,612.12,630.82,556.37,545.35,552.89
product149,smartphones,1712326520.2074666,764.47,695.59,40.8,723.67,723.67,739.2,731.435,731.435,731.435,695.74,584.12,690.58
product150,smartphones,1712289846.4993277,1225.37,1214.66,141.32,1084.05,1084.05,1090.78,1087.415,1087.415,1087.415,1191.77,862.71,1157.33
product151,smartphones,1712244520.5364182,830.11,739.58,102.73,727.38,776.73,727.38,827.54,732.53,736.26,739.58,699.29,731.73
product152,headphones,1712199942.0444877,244.44,218.85,15.63,228.81,228.81,236.19,232.5,232.5,232.5,264.08,211.13,214.76
product153,smartphones,1712171201.6794243,719.83,682.95,90.52,629.31,702.78,629.31,666.045,666.045,666.045,679.58,589.54,658.2
product154,beverages,1712146341.06895,2.0,1.77,0.19,1.81,1.81,1.86,1.835,1.835,1.835,2.7,1.67,1.78
product155,headphones,1712111205.7204847,207.23,183.49,27.01,180.22,202.68,182.9,206.86,189.39,180.22,264.08,181.37,181.26
product156,headphones,1712025367.481758,395.61,352.64,14.53,381.08,393.0,381.08,393.16,390.17,389.4,356.16,348.02,354.78
product157,electronics,1711954085.513472,488.73,442.55,72.0,416.73,455.38,457.02,479.8,447.15,416.73,463.06,407.93,441.73
product158,beverages,1711878231.368055,3.3,2.82,0.4,2.9,2.99,2.9,2.91,2.9,3.25,264.08,2.81,2.96
product159,electronics,1711808759.937991,816.43,696.18,100.51,715.92,715.92,722.58,765.11,767.2,802.16,713.17,589.54,702.3
product160,beverages,1711747519.0110092,1.86,1.61,0.22,1.64,1.67,1.73,1.64,1.68,1.71,4.52,1.57,1.62
product161,headphones,1711682119.982788,236.42,205.29,30.38,206.04,209.57,212.21,229.57,206.04,215.33,264.08,202.3,209.41
product162,headphones,1711658861.0823088,383.61,328.2,49.22,334.39,334.39,357.83,361.78,356.61,357.35,350.84,326.03,330.86
product163,smartphones,1711603731.3957417,947.85,814.75,131.45,816.4,816.75,876.46,831.04,816.4,883.77,860.77,699.29,834.42
product164,smartphones,1711537044.6521163,522.73,460.22,44.51,478.22,478.22,517.87,498.045,498.045,498.045,462.43,460.07,457.63
product165,electronics,1711514741.4078145,433.85,370.27,55.85,378.0,384.74,401.15,421.18,378.0,383.16,370.94,369.68,369.66
product166,electronics,1711490117.4279437,1538.44,1337.93,229.12,1309.32,1473.71,1316.44,1495.04,1309.32,1518.09,1406.39,1287.48,1347.83
product167,smartphones,1711459075.8620498,758.81,654.24,95.26,663.55,704.36,663.55,735.49,753.82,673.84,703.77,589.54,669.85
product168,electronics,1711392924.7268577,1704.46,1531.78,162.34,1542.12,1567.39,1640.46,1602.6,1542.12,1612.51,1576.7,1318.98,1552.35
product169,electronics,1711337332.616599,1384.0,1210.11,148.6,1235.4,1254.01,1332.35,1310.53,1235.4,1377.28,1283.19,1140.14,1291.72
product170,electronics,1711298360.6790185,903.54,777.91,134.33,769.21,773.97,779.42,782.76,769.21,789.48,860.37,699.29,797.36
product171,electronics,1711248689.987487,1796.52,1606.82,68.5,1728.02,1728.02,1796.11,1762.065,1762.065,1762.065,1648.58,1413.37,1603.36
product172,headphones,1711210906.0624225,332.79,293.18,47.36,285.43,326.11,322.86,285.43,286.55,306.37,294.41,281.97,291.38
product173,headphones,1711141488.4772274,151.02,132.63,16.67,134.35,144.07,145.69,141.28,149.71,134.35,264.08,132.63,133.29
product174,beverages,1711115085.5610552,2.43,2.19,0.19,2.24,2.42,2.24,2.33,2.33,2.33,6.53,1.95,2.2
product175,electronics,1711094335.208126,1583.31,1381.96,179.45,1403.86,1420.23,1559.71,1482.57,1403.86,1421.04,1436.19,1406.18,1401.88
product176,electronics,1711042507.4056933,829.98,710.37,104.39,725.59,813.99,725.59,725.9,816.51,826.89,731.56,594.93,718.98
product177,smartphones,1710957178.0947714,1156.41,1057.36,169.13,987.28,1033.29,989.48,1091.27,1000.49,987.28,1088.19,927.51,1066.29
product178,headphones,1710892613.8389246,280.18,238.71,18.53,261.65,261.65,263.55,262.6,262.6,262.6,264.08,238.7,239.97
product179,beverages,1710845981.9436483,3.44,2.95,0.51,2.93,2.93,3.28,3.31,3.39,3.03,264.08,1.4,3.88
product180,electronics,1710837526.937246,1746.87,1494.99,229.87,1517.0,1612.24,1600.11,1596.62,1517.0,1712.57,1593.53,1496.66,1510.39
product181,smartphones,1710818772.8029408,902.19,806.46,88.06,814.13,814.13,850.6,883.4,867.34,827.12,806.44,699.29,792.05
product182,smartphones,1710793533.3559213,640.44,552.6,83.8,556.64,564.45,557.96,609.22,631.33,556.64,554.78,545.58,551.52
product183,beverages,1710752041.533184,2.16,1.86,0.28,1.88,1.93,1.88,2.02,1.97,2.16,2.91,1.86,1.9
product184,headphones,1710718015.782397,371.93,330.61,51.46,320.47,339.42,341.99,320.47,333.46,329.76,333.17,322.57,330.24
product185,electronics,1710705354.703453,1543.17,1321.49,170.49,1372.68,1490.11,1455.96,1403.22,1503.87,1372.68,1420.56,1327.9,1371.83
product186,beverages,1710665737.3035784,1.19,1.08,0.11,1.08,1.17,1.08,1.125,1.125,1.125,2.39,0.87,1.0
product187,electronics,1710611470.9953606,1780.54,1525.46,245.02,1535.52,1638.66,1643.62,1636.33,1568.63,1535.52,1540.88,1514.68,1546.06
product188,electronics,1710577933.041908,1139.26,1016.93,170.27,968.99,1094.62,968.99,998.01,1064.54,1034.29,1055.53,990.63,1007.23
product189,headphones,1710511135.2639885,302.34,264.03,29.05,273.29,297.9,298.27,283.08,283.96,273.29,279.38,263.47,267.62
product190,electronics,1710425987.187721,1395.66,1207.0,184.35,1211.31,1256.36,1228.25,1345.29,1321.19,1211.31,1207.36,1206.22,1209.37
product191,smartphones,1710389603.0131998,614.08,532.87,89.84,524.24,540.15,528.16,525.01,524.24,573.65,541.15,507.68,534.16
product192,electronics,1710385603.6023357,1344.96,1162.2,162.35,1182.61,1182.61,1275.17,1228.8899999999999,1228.8899999999999,1228.8899999999999,1164.59,1182.47,1169.09
product193,headphones,1710373837.373474,370.11,316.87,36.87,333.24,333.24,353.29,364.67,360.5,366.01,349.8,316.11,327.42
product194,headphones,1710353638.2720704,157.38,135.18,22.72,134.66,135.93,145.09,153.33,155.49,134.66,264.08,132.08,136.43
product195,smartphones,1710311388.130966,809.4,714.97,86.2,723.2,779.53,788.66,727.14,723.2,783.63,742.82,594.93,710.3
product196,smartphones,1710299386.8632371,702.43,614.15,104.71,597.72,684.21,597.72,640.965,640.965,640.965,641.78,589.54,623.39
product197,smartphones,1710239232.8501806,500.2,448.18,27.36,472.84,472.84,476.96,474.9,474.9,474.9,453.9,414.71,449.75
product198,electronics,1710173537.8067305,432.51,371.26,55.12,377.39,399.13,394.17,398.52,377.39,424.82,381.02,369.12,370.21
product199,headphones,1710135243.800004,332.19,287.06,39.41,292.78,292.78,296.55,301.95,324.53,313.94,308.57,286.58,288.14
product200,smartphones,1710116567.0695868,973.2,876.89,110.73,862.47,862.47,924.44,893.455,893.455,893.455,923.03,699.29,843.28
product201,beverages,1710091056.0789895,2.23,1.92,0.26,1.97,2.1,2.21,1.97,2.06,2.06,2.25,1.92,1.97
product202,headphones,1710005759.5395088,123.85,106.72,16.77,107.08,108.68,111.04,120.07,120.38,107.08,264.08,106.74,108.5
product203,smartphones,1709986984.1070275,1090.81,1046.23,50.45,1040.36,1082.38,1040.36,1061.37,1061.37,1061.37,1045.76,730.14,1013.48
product204,beverages,1709978086.159763,3.39,3.2,0.31,3.08,3.08,3.17,3.125,3.125,3.125,213.24,2.41,3.49
product205,headphones,1709915144.1013055,313.36,274.73,17.36,296.0,311.77,296.0,303.885,303.885,303.885,306.78,271.41,280.99
product206,headphones,1709856524.813441,260.75,227.56,37.76,222.99,260.74,224.2,254.0,222.99,254.74,267.18,227.51,230.94
product207,beverages,1709798851.0343003,1.97,1.74,0.02,1.95,1.95,1.96,1.955,1.955,1.955,4.01,1.7,1.75
